acc	CpC	CpG	CpU	CpA	GpC	GpG	GpU	GpA	UpC	UpG	UpU	UpA	ApC	ApG	ApU	ApA
DQ235149.1	1.1098394869665482	0.5994659420415612	1.1238796996727602	1.3513036544737427	0.938171285180883	0.9754592127261136	0.9060317315506573	1.1723391736816713	0.9021471477063742	1.383030790219974	1.0341657464428031	0.5204098451598281	1.0814368896590154	1.0286642389050298	0.9945198820314152	0.8944703416099776
DQ235144.1	1.0933574989901553	0.5845399222273061	1.19852324426243	1.3075496293900313	0.9068041752929569	1.018455248857287	0.8629725438583211	1.1750156024933252	1.0016539026958575	1.3373308492163407	1.0315588449165667	0.51661305977846	1.044158337138802	1.0403157586046328	0.9866003921400914	0.917991634957389
DQ235150.1	1.0536575456437824	0.574824162618143	1.1665099887005783	1.3472428462661612	0.862945903387237	1.0711017772601663	0.8081300277122644	1.1906441105433043	1.1140590000000128	1.27667350122629	1.0802045307809667	0.48639023449928875	1.0296147315173179	1.040747257322397	1.030426719013308	0.897850363605734
KF917536.1	0.9963410401640784	0.564111851408381	1.2030350715529894	1.2762423185136573	0.9460961622191991	0.9897882374158525	0.8796316068499648	1.1396386720452611	1.0806209765528605	1.4601563053377844	1.0255308137343053	0.4739883690583078	0.9955944376611454	0.9915095364754367	0.9479767381166156	1.049344547737006
AY323490.1	1.089804787419278	0.5473870287778517	1.2138379435792512	1.3295222657909869	0.8742626952518295	1.0695799161790558	0.8827258489308794	1.1282025729861973	1.00885206569004	1.396551343084675	1.0274210363956213	0.44472158707729775	1.0725269824551003	1.0058974267996403	0.9261810443914158	0.9857611137392123
DQ837641.1	1.051382886056016	0.6001945534854886	1.1252924628204388	1.262579320749926	0.9252369439121386	1.064530471060301	0.8730029877293891	1.0927514857746052	0.9802199153488144	1.487571878008201	1.0503186051681508	0.489168786356299	1.049121665802996	0.881015674499793	0.9878053556743329	1.0893656220037355
HE574574.1	0.932186860091657	0.9217270027378043	0.9256126850088976	1.2309541576170049	0.923119339599946	0.9367497363393666	1.0249176168797132	1.1272865041488982	1.0520536472342812	1.366556822506284	1.0929786714767602	0.43692785719153404	1.106904513826144	0.7921085600944608	0.9572388932364143	1.169828545875137
AJ242984.1	1.1923398193895196	0.30573778663395074	1.2598296369493087	1.300804333215983	0.9248093297561117	1.0772123703070424	0.8563568962628627	1.099358234134176	0.9857757873531929	1.4694149632504017	1.0436712909686765	0.5345805429224804	0.9623836936801174	0.9571998417892396	0.9339211394254312	1.1204637573433471
AF326573.1	1.2276468649032124	0.3753279727364376	1.1201710103118399	1.2922633313258185	0.8057499598195083	1.1201366993322686	0.8404726321747438	1.1412487870829344	1.0417796688903853	1.3714689075409578	1.1631887534548857	0.5409072487912151	0.9830535951620787	1.0537261757627496	0.9396883582316774	1.00876515672428
D00246.1	1.0781217335307003	0.5357067198932799	1.215381538380552	1.2498615769564012	0.9356214857189038	1.0194946687095479	0.8532876215915856	1.1488548098743379	0.9831430278619753	1.4246193334398645	1.0296786990984628	0.5453483480410377	1.0186371852194671	1.0086921271263738	0.9570785823170348	1.0109294911839326
