0.11	7483	3	D	10239	Viruses	BlackFly39
74.66	5960828	5960828	U	0	unclassified	BlackFly3
21.93	1750773	79578	D	2	Bacteria	BlackFly3
0.92	73151	0	D	2759	Eukaryota	BlackFly3
0.02	1426	1	D	2157	Archaea	BlackFly3
2.38	189848	5	D	10239	Viruses	BlackFly3
43.13	1864723	1864723	U	0	unclassified	BlackFly40
50.80	2195902	544214	D	2	Bacteria	BlackFly40
3.60	155416	27	D	2759	Eukaryota	BlackFly40
0.14	5874	40	D	2157	Archaea	BlackFly40
0.32	14047	1	D	10239	Viruses	BlackFly40
67.00	3360224	3360224	U	0	unclassified	BlackFly41
27.17	1362324	226816	D	2	Bacteria	BlackFly41
5.18	259531	0	D	2759	Eukaryota	BlackFly41
0.10	5265	2	D	2157	Archaea	BlackFly41
0.06	3185	0	D	10239	Viruses	BlackFly41
51.03	3748762	3748762	U	0	unclassified	BlackFly42
46.88	3444022	206128	D	2	Bacteria	BlackFly42
1.57	115233	0	D	2759	Eukaryota	BlackFly42
0.07	5169	9	D	2157	Archaea	BlackFly42
0.16	12027	13	D	10239	Viruses	BlackFly42
63.33	4496477	4496477	U	0	unclassified	BlackFly43
33.22	2358784	173842	D	2	Bacteria	BlackFly43
2.83	200640	0	D	2759	Eukaryota	BlackFly43
0.06	4351	632	D	2157	Archaea	BlackFly43
0.06	4492	3	D	10239	Viruses	BlackFly43
47.60	2900981	2900981	U	0	unclassified	BlackFly44
30.83	1878869	429926	D	2	Bacteria	BlackFly44
1.17	71078	0	D	2759	Eukaryota	BlackFly44
0.09	5441	2	D	2157	Archaea	BlackFly44
19.68	1199706	1	D	10239	Viruses	BlackFly44
60.76	3726928	3726928	U	0	unclassified	BlackFly45
35.52	2178744	538751	D	2	Bacteria	BlackFly45
1.67	102142	2	D	2759	Eukaryota	BlackFly45
0.12	7355	4	D	2157	Archaea	BlackFly45
1.47	90238	13	D	10239	Viruses	BlackFly45
45.23	2385022	2385022	U	0	unclassified	BlackFly46
50.17	2645373	323199	D	2	Bacteria	BlackFly46
3.90	205856	0	D	2759	Eukaryota	BlackFly46
0.08	4060	3	D	2157	Archaea	BlackFly46
0.05	2888	1	D	10239	Viruses	BlackFly46
59.52	2851355	2851355	U	0	unclassified	BlackFly47
34.81	1667767	394396	D	2	Bacteria	BlackFly47
