rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_A1_length_10941_cov_33.802467_BlackFly17	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	NA	NA	NA
NODE_A1_length_112056_cov_196.930424_BlackFly29	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_145739_cov_4378.993224_BlackFly20	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Henunavirus	NA
NODE_A1_length_147944_cov_50.530186_BlackFly28	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NODE_A1_length_178860_cov_752.098662_BlackFly44	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Straboviridae	Roskildevirus	Roskildevirus cronus
NODE_A1_length_219545_cov_63.599691_BlackFly23	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Noxifervirus	Noxifervirus noxifer
NODE_A1_length_222647_cov_103.919212_BlackFly5	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_224481_cov_213.585814_BlackFly6	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_26678_cov_24.740498_BlackFly33	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Septimatrevirus	Pseudomonas phage PaMx42
NODE_A1_length_27304_cov_161.454255_BlackFly_NC_Jara_1	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_282905_cov_503.825449_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	Agricanvirus	Erwinia phage AH06
NODE_A1_length_29594_cov_21.259613_BlackFly7	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_2980_cov_37.704788_BlackFly_NC_Jara_2	NA	NA	NA	NA	NA	NA	NA	Hubei lepidoptera virus 5
NODE_A1_length_39723_cov_66.817056_BlackFly34	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_40427_cov_73.817323_BlackFly11	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Autographiviridae	NA	NA
NODE_A1_length_41066_cov_42.948132_BlackFly59	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_43127_cov_149.744692_BlackFly52	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_44824_cov_79.651530_BlackFly24	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_44850_cov_140.644540_BlackFly45	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_45106_cov_132.311088_BlackFly46	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_45264_cov_100.506296_BlackFly58	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_47617_cov_278.480059_BlackFly21	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_48162_cov_113.376313_BlackFly38	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_48882_cov_60.588218_BlackFly53	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_49125_cov_2951.479122_BlackFly42	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_49347_cov_9361.809316_BlackFly50	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Zobellviridae	NA	Erwinia phage Pecta
NODE_A1_length_50053_cov_162.623599_BlackFly14	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_50135_cov_460.227376_BlackFly31	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_51364_cov_115.426697_BlackFly39	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_60093_cov_10932.194731_BlackFly30	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Casjensviridae	Seodaemunguvirus	Seodaemunguvirus YMC16-01N133
NODE_A1_length_62752_cov_2246.284308_BlackFly43	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	Casjensviridae	Dunedinvirus	Dunedinvirus JS26
NODE_A1_length_70234_cov_38.959747_BlackFly57	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NODE_A1_length_74294_cov_202.265074_BlackFly12	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	NA
NODE_A1_length_74832_cov_2340.112916_BlackFly32	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A1_length_9828_cov_156.569377_BlackFly18	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	NA	Budalangi Iflavi-like virus
NODE_A10_length_11629_cov_7482.078168_BlackFly52	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A10_length_21203_cov_11.409306_BlackFly27	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A10_length_27322_cov_19.240411_BlackFly6	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A10_length_27397_cov_46.071925_BlackFly30	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A10_length_28661_cov_46.362790_BlackFly28	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A10_length_28894_cov_15.835479_BlackFly16	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A10_length_3616_cov_14.756146_BlackFly33	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Cotoneaster microphyllus picorna-like virus
NODE_A10_length_38452_cov_22.212456_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A10_length_4012_cov_277.458958_BlackFly46	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A10_length_4540_cov_12.946000_BlackFly18	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A10_length_8834_cov_7.560580_BlackFly21	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Hypoviridae	Alphahypovirus	Alphahypovirus fusarii
NODE_A10_length_9205_cov_570.817594_BlackFly39	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	NA	Iflaviridae sp.
NODE_A100_length_1740_cov_280.728803_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Plasmopara viticola lesion associated Partitivirus 4
NODE_A100_length_1813_cov_16.844470_BlackFly35	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A100_length_3112_cov_16.213180_BlackFly23	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	Tobamovirus	NA
NODE_A100_length_4012_cov_931.241931_BlackFly28	Riboviria	Orthornavirae	Lenarviricota	Leviviricetes	Norzivirales	Fiersviridae	NA	Leviviridae sp.
NODE_A101_length_1035_cov_2.489562_BlackFly13	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Fusarium equiseti partitivirus 1
NODE_A101_length_2221_cov_12.763060_BlackFly6	Riboviria	NA	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3
NODE_A101_length_2759_cov_25.901566_BlackFly32	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A101_length_3416_cov_20.197065_BlackFly31	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A1016_length_1025_cov_0.989451_BlackFly31	Riboviria	Orthornavirae	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	NA	Botourmiaviridae sp.
NODE_A102_length_1896_cov_5.534909_BlackFly44	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A102_length_2219_cov_8.893557_BlackFly21	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A103_length_2185_cov_22.293643_BlackFly21	Riboviria	NA	NA	NA	NA	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 1
NODE_A103_length_3052_cov_31.805714_BlackFly15	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	Erysiphe necator associated chryso-like virus 2
NODE_A1037_length_1066_cov_2.314459_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A104_length_1768_cov_7.092844_BlackFly53	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A104_length_1774_cov_7.255745_BlackFly35	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA
NODE_A104_length_2751_cov_10.632386_BlackFly52	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A104_length_3042_cov_15.416189_BlackFly15	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A104_length_3334_cov_388.051581_BlackFly31	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A105_length_1872_cov_74.588858_BlackFly44	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	NA
NODE_A105_length_2138_cov_8.091218_BlackFly30	Riboviria	NA	NA	NA	NA	Polymycoviridae	Polymycovirus	Setosphaeria turcica polymycovirus 2
NODE_A105_length_2223_cov_4.219012_BlackFly42	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	NA
NODE_A105_length_3329_cov_8.716482_BlackFly31	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A105_length_3593_cov_28.345279_BlackFly19	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A106_length_3061_cov_4.387399_BlackFly23	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A106_length_3365_cov_37.178528_BlackFly3	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A106_length_3758_cov_48.275469_BlackFly16	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A107_length_1758_cov_82.723974_BlackFly53	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Grapevine partitivirus
NODE_A107_length_2456_cov_135.892392_BlackFly34	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	NA
NODE_A107_length_2848_cov_12.202454_BlackFly36	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	NA	NA	NA
NODE_A107_length_3340_cov_13.715906_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	NA
NODE_A107_length_3758_cov_26.945939_BlackFly16	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	NA
NODE_A108_length_1753_cov_39.389021_BlackFly35	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Grapevine partitivirus
NODE_A108_length_3742_cov_24.795907_BlackFly16	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A11_length_10849_cov_995.947085_BlackFly52	Riboviria	Orthornavirae	NA	NA	NA	NA	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_A11_length_25860_cov_57.800489_BlackFly16	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A11_length_35987_cov_239.844779_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A11_length_3744_cov_66.137442_BlackFly11	NA	NA	NA	NA	NA	NA	NA	Hubei odonate virus 14
NODE_A11_length_4079_cov_1220.221889_BlackFly7	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A11_length_4120_cov_7.586693_BlackFly18	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	NA
NODE_A11_length_4167_cov_12.770416_BlackFly58	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Erysiphe necator associated negative-stranded RNA virus 21
NODE_A11_length_4377_cov_24.917674_BlackFly13	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Scheffersomyces segobiensis virus L
NODE_A11_length_5430_cov_173.613114_BlackFly45	Monodnaviria	Shotokuvirae	Cossaviricota	NA	NA	NA	NA	NA
NODE_A11_length_6127_cov_633.704298_BlackFly53	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A11_length_6444_cov_19.752003_BlackFly35	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	NA
NODE_A11_length_7098_cov_52.156103_BlackFly32	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	NA	NA	NA	NA
NODE_A11_length_9789_cov_221.877471_BlackFly20	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	NA	Dicistroviridae sp.
NODE_A110_length_1763_cov_30.983393_BlackFly20	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Plasmopara viticola lesion associated Partitivirus 1
NODE_A110_length_2150_cov_63.313073_BlackFly42	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Betapartitivirus	Kalajoki betapartitivirus
NODE_A110_length_2799_cov_49.091477_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Betachrysovirus	Betachrysovirus neofusicocci
NODE_A110_length_3309_cov_439.921101_BlackFly3	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A111_length_1675_cov_7.866708_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Fusarium mangiferae partitivirus 2
NODE_A111_length_2119_cov_3.785504_BlackFly48	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NODE_A112_length_2202_cov_3.503059_BlackFly59	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	Cripavirus	Bactrocera dorsalis cripavirus
NODE_A112_length_3302_cov_12.031628_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	NA
NODE_A113_length_2744_cov_8.750281_BlackFly36	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	NA
NODE_A114_length_1645_cov_4.599490_BlackFly38	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	NA	Plasmopara viticola lesion associated dicistro-like virus 1
NODE_A114_length_1809_cov_199.748268_BlackFly44	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Grapevine partitivirus
NODE_A115_length_1356_cov_5.275215_BlackFly58	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Aspergillus flavus partitivirus 1
NODE_A115_length_1720_cov_5.446135_BlackFly53	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	NA
NODE_A116_length_1447_cov_4.698540_BlackFly22	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A116_length_2052_cov_14.988354_BlackFly42	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A116_length_2718_cov_179.440742_BlackFly36	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Sclerotinia nivalis victorivirus 1
NODE_A116_length_2951_cov_5.139875_BlackFly12	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Tonghua Totiv tick virus 1
NODE_A116_length_3229_cov_88.263642_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	Erysiphe necator associated chryso-like virus 2
NODE_A117_length_3228_cov_111.872739_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A117_length_3501_cov_192.502629_BlackFly16	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A118_length_1468_cov_5.554996_BlackFly46	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Tonghua Totiv tick virus 1
NODE_A119_length_1709_cov_2.246324_BlackFly53	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	NA	Soybean thrips dicistrovirus 2
NODE_A119_length_3151_cov_47.845804_BlackFly19	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A119_length_3189_cov_17.634640_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	NA
NODE_A12_length_21361_cov_26.735341_BlackFly6	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A12_length_32112_cov_80.972343_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A12_length_3687_cov_33.805540_BlackFly11	Riboviria	Orthornavirae	Duplornaviricota	Resentoviricetes	Reovirales	NA	NA	Bercke-Baary Melophagus reo-like virus
NODE_A12_length_3740_cov_86.837292_BlackFly25	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	NA
NODE_A12_length_3941_cov_3.987060_BlackFly46	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Erysiphe necator associated totivirus 7
NODE_A12_length_4005_cov_7.099796_BlackFly58	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	Muscavirus	Musca hytrosavirus
NODE_A12_length_4078_cov_1345.648088_BlackFly7	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A12_length_5622_cov_45.033003_BlackFly34	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A12_length_6007_cov_14.230354_BlackFly44	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A12_length_6424_cov_30.880416_BlackFly14	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	NA
NODE_A12_length_7086_cov_86.661863_BlackFly32	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	NA	blackberry line pattern virus
NODE_A120_length_1751_cov_62.507168_BlackFly44	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.
NODE_A120_length_3493_cov_4.934719_BlackFly16	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Atrato Picorna-like virus
NODE_A121_length_2323_cov_10.245325_BlackFly34	Monodnaviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	NA	Genomoviridae sp.
NODE_A121_length_3174_cov_2.562480_BlackFly3	Monodnaviria	Shotokuvirae	Cossaviricota	Quintoviricetes	Piccovirales	Parvoviridae	NA	NA
NODE_A122_length_1432_cov_3.388930_BlackFly22	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Sanya totivirus 11
NODE_A122_length_2016_cov_5.600309_BlackFly21	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	NA
NODE_A122_length_2437_cov_74.505085_BlackFly32	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	Botrytis cinerea victorivirus 3-BCS13
NODE_A122_length_3103_cov_5.195968_BlackFly19	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A123_length_2050_cov_7.918398_BlackFly39	Riboviria	NA	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3
NODE_A123_length_2892_cov_5.807460_BlackFly12	Riboviria	Orthornavirae	Negarnaviricota	Ellioviricetes	Bunyavirales	NA	NA	NA
NODE_A123_length_3081_cov_11.900133_BlackFly19	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A124_length_1340_cov_3.070467_BlackFly47	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Lasius neglectus picorna-like virus 8
NODE_A124_length_2302_cov_39.191461_BlackFly34	Riboviria	NA	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 3
NODE_A124_length_2553_cov_67.025040_BlackFly15	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Totiviridae sp.
NODE_A124_length_3468_cov_34.192569_BlackFly16	Riboviria	Orthornavirae	Negarnaviricota	NA	NA	NA	NA	Erysiphe necator associated negative-stranded RNA virus 17
NODE_A125_length_3133_cov_85.123364_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A125_length_3466_cov_5.845087_BlackFly16	Riboviria	Orthornavirae	Pisuviricota	Stelpaviricetes	Patatavirales	NA	NA	NA
NODE_A125_length_3626_cov_9.060017_BlackFly28	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A126_length_1918_cov_9.357958_BlackFly48	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Curvulaviridae	Orthocurvulavirus	Trichoderma harzianum orthocurvulavirus 1
NODE_A126_length_3112_cov_384.993740_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A127_length_1683_cov_77.044209_BlackFly53	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	Gammapartitivirus	Gammapartitivirus sp.
NODE_A127_length_2287_cov_9.252941_BlackFly34	Monodnaviria	Shotokuvirae	Cressdnaviricota	Repensiviricetes	Geplafuvirales	Genomoviridae	NA	Genomoviridae sp.
NODE_A127_length_3463_cov_289.979327_BlackFly16	NA	NA	NA	NA	NA	NA	NA	Wuhan insect virus 30
NODE_A127_length_4626_cov_39.580567_BlackFly49	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Tonghua Totiv tick virus 1
NODE_A128_length_3545_cov_361.279412_BlackFly28	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_A129_length_2444_cov_8.204901_BlackFly27	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_A129_length_3095_cov_11.243870_BlackFly3	Riboviria	Orthornavirae	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	NA	Plant associated virga-like virus 1
NODE_A13_length_29634_cov_30.383259_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_A13_length_3588_cov_10.750498_BlackFly18	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	Drosophila suzukii associated hytrosavirus 1
NODE_A13_length_3712_cov_67.074828_BlackFly25	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A13_length_3738_cov_33.721661_BlackFly58	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A13_length_3834_cov_402.611924_BlackFly46	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Grapevine associated chrysovirus-3
NODE_A13_length_4328_cov_12.258998_BlackFly38	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Penicillimonavirus	Penicillimonavirus epsilonplasmoparae
NODE_A13_length_4549_cov_50.622764_BlackFly45	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Poaceae Liege totivirus 13
NODE_A13_length_5271_cov_17.848672_BlackFly34	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	NA
NODE_A13_length_6005_cov_14.811910_BlackFly44	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Totivirus	Ustilago maydis virus H1
NODE_A13_length_6106_cov_149.645547_BlackFly53	Riboviria	Orthornavirae	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	NA	Xinjiang mymona-like virus 2
