rowname	Realm	Kingdom	Phylum	Class	Order	Family	Genus	Species
NODE_B26_length_1780_cov_34.506166_BlackFly25	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Colletotrichum eremochloae partitivirus 1
NODE_B27_length_3561_cov_10.032721_BlackFly53	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_B3_length_26543_cov_628.995088_BlackFly28	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
NODE_B3_length_7409_cov_57.394299_BlackFly58	Riboviria	Orthornavirae	Pisuviricota	Pisoniviricetes	Picornavirales	Dicistroviridae	NA	NA
NODE_B30_length_1706_cov_7.015347_BlackFly7	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	Victorivirus	NA
NODE_B33_length_3080_cov_20.261072_BlackFly31	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	NA	NA
NODE_B4_length_39564_cov_11.338010_BlackFly3	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B4_length_43797_cov_17.196020_BlackFly30	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B51_length_3529_cov_20.033024_BlackFly16	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 2
NODE_B6_length_10822_cov_177.050070_BlackFly32	Riboviria	Orthornavirae	NA	NA	NA	NA	Botybirnavirus	Plasmopara viticola lesion associated botybirna 1
NODE_B7_length_24423_cov_103.239752_BlackFly29	Duplodnaviria	Heunggongvirae	Uroviricota	NA	NA	NA	NA	NA
NODE_B72_length_3179_cov_11.621857_BlackFly23	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	NA
NODE_B8_length_7652_cov_1031.518944_BlackFly53	Riboviria	Orthornavirae	NA	NA	NA	NA	NA	NA
NODE_B84_length_1067_cov_1.428283_BlackFly21	Riboviria	Orthornavirae	Pisuviricota	NA	NA	NA	NA	NA
NODE_B89_length_1416_cov_4.218073_BlackFly12	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Plasmopara viticola lesion associated Partiti-like 2
NODE_C1_length_26394_cov_69.894175_BlackFly28	Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	NA	NA	NA	Caudoviricetes sp.
NODE_C8_length_11776_cov_52.039320_BlackFly3	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	NA
NODE_A100_length_1540_cov_23.062201_BlackFly22	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA
NODE_A100_length_2130_cov_19.734535_BlackFly39	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Lichen partiti-like RNA virus sp.
NODE_A100_length_3433_cov_2.458284_BlackFly3	NA	NA	NA	Naldaviricetes	Lefavirales	Nudiviridae	NA	Phenacoccus solenopsis nudivirus
NODE_A101_length_1479_cov_4.440799_BlackFly58	NA	NA	NA	Naldaviricetes	Lefavirales	Hytrosaviridae	NA	Drosophila suzukii associated hytrosavirus 1
NODE_A101_length_1583_cov_90.725764_BlackFly25	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	NA
NODE_A101_length_2223_cov_4.257223_BlackFly21	Riboviria	Orthornavirae	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Chrysoviridae	Chrysovirus	Erysiphe necator associated chrysovirus 3
NODE_A102_length_1513_cov_37.960306_BlackFly22	Riboviria	Orthornavirae	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Fusarium mangiferae partitivirus 2
